    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000 16.3251217952  48.6389681641 0.0000000000 0.6172328936 -0.0793744315 0.0000000000 15.7078889016  48.7183425956 0.0000000000 
 0.0106000000 -9.0968638056 -29.2695144835 0.0000000000 0.3347086645 -0.0714639207 0.0000000000 -9.4315724700 -29.1980505628 0.0000000000 
 0.2585721103  0.1850396448   0.5076444824 0.0000000000 0.0745887347 -0.0075030038 0.0000000000  0.1104509101   0.5151474862 0.0000000000 
 0.2607364755  0.2078941322   0.5467652874 0.0000000000 0.0745632739 -0.0074162326 0.0000000000  0.1333308583   0.5541815199 0.0000000000 
 0.2628978176  0.1357309970   0.4175782693 0.0000000000 0.0738338529 -0.0072610686 0.0000000000  0.0618971440   0.4248393379 0.0000000000 
 0.2650597643  0.1611806655   0.3555646151 0.0000000000 0.0737600606 -0.0072607508 0.0000000000  0.0874206049   0.3628253659 0.0000000000 
 0.2672201440  0.1547219945   0.4187421538 0.0000000000 0.0734354498 -0.0072453570 0.0000000000  0.0812865446   0.4259875108 0.0000000000 
 0.2693805910  0.1715581308   0.4447979622 0.0000000000 0.0731809471 -0.0071543325 0.0000000000  0.0983771837   0.4519522947 0.0000000000 
 0.2715402058  0.1467724226   0.4148703093 0.0000000000 0.0727622038 -0.0070721956 0.0000000000  0.0740102188   0.4219425049 0.0000000000 
 0.2737011433  0.1682441848   0.4200985108 0.0000000000 0.0725315846 -0.0069981516 0.0000000000  0.0957126002   0.4270966624 0.0000000000 
 0.2758631444  0.1668770227   0.4227450886 0.0000000000 0.0723134053 -0.0069408213 0.0000000000  0.0945636174   0.4296859099 0.0000000000 
 0.2780242071  0.1376247753   0.4455308676 0.0000000000 0.0717596465 -0.0067635128 0.0000000000  0.0658651288   0.4522943804 0.0000000000 
 0.2801852737  0.1669406293   0.3980988769 0.0000000000 0.0716242345 -0.0067657440 0.0000000000  0.0953163948   0.4048646209 0.0000000000 
 0.2823460449  0.1333939853   0.3534407957 0.0000000000 0.0712775762 -0.0067137793 0.0000000000  0.0621164091   0.3601545750 0.0000000000 
 0.2845079126  0.1727021889   0.4673633025 0.0000000000 0.0710635351 -0.0066082593 0.0000000000  0.1016386537   0.4739715618 0.0000000000 
 0.2866679038  0.1629991733   0.4611778812 0.0000000000 0.0707512801 -0.0065191647 0.0000000000  0.0922478932   0.4676970459 0.0000000000 
 0.2888293923  0.1620390727   0.4457284737 0.0000000000 0.0704764205 -0.0064171958 0.0000000000  0.0915626523   0.4521456695 0.0000000000 
 0.2909897551  0.1417370910   0.3227174511 0.0000000000 0.0703179266 -0.0064495562 0.0000000000  0.0714191644   0.3291670073 0.0000000000 
 0.2931504717  0.2012051274   0.6084869134 0.0000000000 0.0700520705 -0.0062346609 0.0000000000  0.1311530569   0.6147215744 0.0000000000 
 0.2953083405  0.1828428779   0.5629294482 0.0000000000 0.0696474782 -0.0060553673 0.0000000000  0.1131953996   0.5689848155 0.0000000000 
 0.2974635739  0.1669088834   0.4987324778 0.0000000000 0.0692603028 -0.0059582423 0.0000000000  0.0976485806   0.5046907201 0.0000000000 
 0.2996158498  0.1010423499   0.2116689904 0.0000000000 0.0689834460 -0.0060516950 0.0000000000  0.0320589039   0.2177206854 0.0000000000 
