Time (s)	H1 (m)	H2 (m)	H3 (m)	H4 (m)
5.89405708565617	0.190866666666667	0.217733333333333	0.302066666666667	0.182933333333333
5.89503824143721	0.190666666666667	0.217666666666667	0.302066666666667	0.182933333333333
5.89604521710722	0.190466666666667	0.217733333333333	0.302066666666667	0.1828
5.89705219277724	0.1904	0.217733333333333	0.301933333333333	0.182733333333333
5.89805916844725	0.1904	0.217666666666667	0.301666666666667	0.182733333333333
5.89904032422829	0.190466666666667	0.217666666666667	0.3014	0.1828
5.90004729989831	0.1904	0.217533333333333	0.301066666666667	0.1828
5.90105427556832	0.1902	0.217333333333333	0.3008	0.182666666666667
5.90203543134936	0.189933333333333	0.217266666666667	0.300533333333333	0.182733333333333
5.90304240701937	0.189733333333333	0.217266666666667	0.300266666666667	0.182733333333333
5.90404938268939	0.189666666666667	0.217266666666667	0.3	0.182733333333333
5.9050563583594	0.189666666666667	0.217266666666667	0.2998	0.1828
5.90603751414044	0.189666666666667	0.2172	0.299666666666667	0.1828
5.90704448981045	0.1896	0.217066666666667	0.299533333333333	0.182733333333333
5.90805146548047	0.1896	0.217	0.299533333333333	0.182733333333333
5.90905844115048	0.189466666666667	0.216866666666667	0.299533333333333	0.182733333333333
5.91003959693152	0.189266666666667	0.2168	0.2996	0.182733333333333
5.91104657260153	0.189	0.216866666666667	0.299666666666667	0.182666666666667
5.91205354827155	0.188866666666667	0.2168	0.299733333333333	0.1826
5.91303470405259	0.1888	0.216733333333333	0.2998	0.182666666666667
5.9140416797226	0.188866666666667	0.216666666666667	0.299866666666667	0.182733333333333
5.91504865539262	0.188866666666667	0.2166	0.299933333333333	0.182733333333333
5.91605563106263	0.188666666666667	0.2164	0.299866666666667	0.182666666666667
5.91703678684367	0.188533333333333	0.216333333333333	0.299866666666667	0.182733333333333
5.91804376251368	0.188333333333333	0.216333333333333	0.299866666666667	0.182666666666667
5.9190507381837	0.1882	0.216333333333333	0.299933333333333	0.182733333333333
5.92005771385371	0.1882	0.2164	0.300133333333333	0.1828
5.92103886963475	0.188133333333333	0.216333333333333	0.3004	0.182733333333333
5.92204584530476	0.188133333333333	0.216266666666667	0.300533333333333	0.182733333333333
5.92305282097478	0.188	0.216133333333333	0.3008	0.1828
5.92403397675582	0.187933333333333	0.216	0.301066666666667	0.1828
5.92504095242583	0.1878	0.215933333333333	0.301333333333333	0.182733333333333
5.92604792809584	0.1876	0.216	0.3016	0.182733333333333
5.92705490376586	0.187533333333333	0.216	0.3018	0.1828
5.9280360595469	0.187466666666667	0.216	0.301933333333333	0.182866666666667
5.92904303521691	0.187533333333333	0.215933333333333	0.302133333333333	0.182866666666667
