particle_id,diameter,mass,boundary_id,start_time,end_time,start_particle_velocity_x,start_particle_velocity_y,start_particle_velocity_z,start_particle_angular_velocity_x,start_particle_angular_velocity_y,start_particle_angular_velocity_z,end_particle_velocity_x,end_particle_velocity_y,end_particle_velocity_z,end_particle_angular_velocity_x,end_particle_angular_velocity_y,end_particle_angular_velocity_z
32,2.5e-05,1.45708e-11,2,3.12886,3.12886,-1.25665,-1.50017,0.580817,-3301.86,2689.77,0,-1.04235,-1.24456,-0.522313,-54122.7,45293.8,0
27,5e-05,1.16566e-10,2,3.13694,3.13695,-0.735719,-0.869037,1.89868,19296.4,-23760.6,88.8712,-0.260089,-0.385631,-1.70952,-29011,23771,88.8712
0,0.0001,9.32529e-10,2,3.1372,3.13721,-0.0138543,-0.213975,3.88013,0,0,0,-0.0128804,-0.198685,-3.49292,-768.175,50.0095,0
8,5e-05,1.16566e-10,2,3.1389,3.13891,-0.169242,-0.743201,2.28739,-1124.46,166.042,0,-0.152152,-0.669198,-2.058,-8497.74,1868.12,0
24,5e-05,1.16566e-10,2,3.13891,3.13891,-0.511326,-0.195407,2.40009,-500.073,434.041,0,-0.476773,-0.182802,-2.16203,-1756.31,3869.3,0
14,5e-05,1.16566e-10,2,3.1394,3.1394,-0.159753,-0.556293,2.39902,-956.429,148.934,0,-0.148662,-0.51847,-2.15671,-4720.05,1251.77,0
29,5e-05,1.16566e-10,2,3.13967,3.13968,0.392767,-0.184514,2.32447,-518.438,-352.096,0,0.368812,-0.173834,-2.09102,-1584.23,-2735.87,0
20,5e-05,1.16566e-10,2,3.14039,3.14039,-0.149042,-0.380858,2.2818,-773.017,134.604,0,-0.138397,-0.354462,-2.05353,-3401.92,1193.62,0
4,5e-05,1.16566e-10,2,3.14234,3.14234,0.219005,-0.915193,1.7636,-1365,-253.843,0,0.166116,-0.69609,-1.58658,-23240,-5533.5,0
62,7.5e-05,3.93411e-10,2,3.14381,3.14381,-0.0300386,-0.131866,4.33464,0,0,0,-0.027811,-0.122081,-3.90061,-652.504,148.671,0
44,7.5e-05,3.93411e-10,2,3.14383,3.14383,-0.0247901,-0.167684,4.35212,0,0,0,-0.0229307,-0.155018,-3.91665,-846.283,125.406,0
41,7.5e-05,3.93411e-10,2,3.14408,3.14409,0.00190168,-0.172168,4.3622,0,0,0,0.0017647,-0.159644,-3.92502,-838.441,-9.29147,0
55,7.5e-05,3.93411e-10,2,3.1441,3.1443,0.0158393,-0.154884,4.32721,0,0,0,0.0146416,-0.143058,-3.89447,-790.867,-81.2498,0
21,2.5e-05,1.45708e-11,2,3.14483,3.14484,0.173398,-0.530597,0.21647,-37770.2,-11502.8,0,0.170578,-0.524916,-0.194944,-38810.7,-12033.7,0
52,2.5e-05,1.45708e-11,2,3.14508,3.14508,-0.927096,-0.494325,0.582418,-4054.17,8383.78,0,-0.646032,-0.342707,-0.523685,-34296,64433.7,0
59,2.5e-05,1.45708e-11,2,3.14557,3.14557,0.124059,0.733343,0.618046,4292.18,-688.197,0,0.0823506,0.487783,-0.555736,53275.9,-9009.18,0
58,2.5e-05,1.45708e-11,2,3.14627,3.14628,-0.978889,0.766143,0.438239,10315.1,13826.1,0,-0.781585,0.610156,-0.394702,41358.4,53096.6,0
54,2.5e-05,1.45708e-11,2,3.14628,3.14628,1.14656,-0.441437,0.431544,-7173.71,-20958.9,0,0.916554,-0.350004,-0.38877,-25379.7,-66737.6,0
88,2.5e-05,1.45708e-11,2,3.14653,3.14653,-1.4996,0.379199,1.67807,519.37,3022.74,0,-0.989188,0.249052,-1.51147,26484.5,104866,0
