    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.7918071045  0.0735760021  0.0340013910 0.0000000000 0.0559270918 -0.0000421649 0.0000000000  0.0176489104  0.0340435559 0.0000000000 
 0.7959626098  0.0661820965  0.0445959574 0.0000000000 0.0557043356 -0.0000296889 0.0000000000  0.0104777609  0.0446256462 0.0000000000 
 0.8001178953  0.0715163721  0.0225131277 0.0000000000 0.0556258522 -0.0000432951 0.0000000000  0.0158905200  0.0225564228 0.0000000000 
 0.8042730718  0.0710215422  0.0299629110 0.0000000000 0.0555377659 -0.0000463950 0.0000000000  0.0154837763  0.0300093060 0.0000000000 
 0.8084285887  0.0708616019  0.0304233429 0.0000000000 0.0554616267 -0.0000387287 0.0000000000  0.0153999752  0.0304620716 0.0000000000 
 0.8125846651  0.0698681257  0.0439698768 0.0000000000 0.0553524190 -0.0000221398 0.0000000000  0.0145157067  0.0439920165 0.0000000000 
 0.8167413792  0.0729765659  0.0229166904 0.0000000000 0.0553346667 -0.0000311632 0.0000000000  0.0176418992  0.0229478537 0.0000000000 
 0.8208978664  0.0692231788  0.0427472901 0.0000000000 0.0551995103 -0.0000251451 0.0000000000  0.0140236685  0.0427724352 0.0000000000 
 0.8250548317  0.0693267833  0.0395606899 0.0000000000 0.0550943881 -0.0000142745 0.0000000000  0.0142323952  0.0395749644 0.0000000000 
 0.8292115762  0.0723698650  0.0263123693 0.0000000000 0.0550519959 -0.0000263881 0.0000000000  0.0173178691  0.0263387574 0.0000000000 
 0.8333689125  0.0688683087  0.0372483966 0.0000000000 0.0549343788 -0.0000173787 0.0000000000  0.0139339299  0.0372657753 0.0000000000 
 0.8375262470  0.0702260523  0.0284360569 0.0000000000 0.0548484990 -0.0000172388 0.0000000000  0.0153775533  0.0284532957 0.0000000000 
 0.8416845215  0.0701218096  0.0285262256 0.0000000000 0.0547710157 -0.0000177403 0.0000000000  0.0153507939  0.0285439659 0.0000000000 
 0.8458433415  0.0699408943  0.0427773092 0.0000000000 0.0546928812 -0.0000106837 0.0000000000  0.0152480130  0.0427879930 0.0000000000 
 0.8500025707  0.0702938094  0.0319301331 0.0000000000 0.0546172072 -0.0000088279 0.0000000000  0.0156766022  0.0319389610 0.0000000000 
 0.8541615866  0.0713758626  0.0462428455 0.0000000000 0.0545669873  0.0000025033 0.0000000000  0.0168088753  0.0462403422 0.0000000000 
 0.8583202041  0.0712718677  0.0459568853 0.0000000000 0.0545095484  0.0000126875 0.0000000000  0.0167623193  0.0459441977 0.0000000000 
 0.8624781225  0.0685976690  0.0048407531 0.0000000000 0.0544078348 -0.0000171141 0.0000000000  0.0141898342  0.0048578671 0.0000000000 
 0.8666378872  0.0703414378  0.0346524732 0.0000000000 0.0543321147 -0.0000120976 0.0000000000  0.0160093230  0.0346645707 0.0000000000 
 0.8707986850  0.0697592957  0.0233201493 0.0000000000 0.0542580235 -0.0000137575 0.0000000000  0.0155012722  0.0233339069 0.0000000000 
 0.8749597167  0.0696671543  0.0234600627 0.0000000000 0.0541851870 -0.0000158711 0.0000000000  0.0154819673  0.0234759337 0.0000000000 
 0.8791214039  0.0677782398  0.0673767603 0.0000000000 0.0540304911  0.0000413277 0.0000000000  0.0137477487  0.0673354326 0.0000000000 
 0.8832821387  0.0691851900  0.0221144239 0.0000000000 0.0539652990 -0.0000030731 0.0000000000  0.0152198909  0.0221174971 0.0000000000 
 0.8874426503  0.0709515480  0.0221514887 0.0000000000 0.0539385188  0.0000028087 0.0000000000  0.0170130292  0.0221486800 0.0000000000 
 0.8916023865  0.0708886155  0.0223516517 0.0000000000 0.0539066486  0.0000062051 0.0000000000  0.0169819669  0.0223454466 0.0000000000 
 0.8957615020  0.0704560522  0.0822883026 0.0000000000 0.0538599274  0.0000011281 0.0000000000  0.0165961248  0.0822871745 0.0000000000 
 0.8999221627  0.0681145419  0.0089740323 0.0000000000 0.0537384350  0.0000045643 0.0000000000  0.0143761069  0.0089694681 0.0000000000 
 0.9040770910  0.0682413751  0.0063862669 0.0000000000 0.0536454732  0.0000003557 0.0000000000  0.0145959019  0.0063859111 0.0000000000 
 0.9082314840  0.0686511162  0.0376497406 0.0000000000 0.0535520254 -0.0000057204 0.0000000000  0.0150990909  0.0376554610 0.0000000000 
